set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
formation of translation preinitiation complex (GO:0001731),0.8268394297322196,254.0,0.5413932641779436,2256.0
nuclear pore organization (GO:0006999),0.8250724245700982,255.0,1.0569786523555624,159.0
nucleobase-containing small molecule interconversion (GO:0015949),0.8231283297463614,256.0,0.8003554489511532,626.0
mitotic spindle assembly (GO:0090307),0.8227826803313535,257.0,0.961232906492394,264.0
postsynaptic density organization (GO:0097106),0.8226307233586487,258.0,0.7604814384587624,775.0
piRNA biosynthetic process (GO:1990511),0.8225164419245413,259.0,0.9554515653608163,277.0
DNA unwinding involved in DNA replication (GO:0006268),0.822007141849411,260.0,0.8466893763281242,498.0
negative regulation of microtubule polymerization or depolymerization (GO:0031111),0.821534528214831,261.0,0.8998623180410629,371.0
positive regulation by symbiont of host autophagy (GO:0075044),0.8214799783693492,262.0,1.2816907060082918,47.0
protein insertion into mitochondrial membrane (GO:0051204),0.821165923631893,263.0,0.8642960705776624,456.0
protein retention in Golgi apparatus (GO:0045053),0.820965226630317,264.0,0.6991771983570209,1051.0
polyamine metabolic process (GO:0006595),0.8193469263001023,265.0,0.8288640295082189,544.0
hepatocyte growth factor receptor signaling pathway (GO:0048012),0.8186958491669412,266.0,0.6937606165266375,1077.0
sulfur amino acid biosynthetic process (GO:0000097),0.817964284035564,267.0,0.8907344311228984,397.0
protein depolymerization (GO:0051261),0.8176382559245304,268.0,0.8468261214158167,497.0
mitotic nuclear membrane organization (GO:0101024),0.8174900913643469,270.0,1.0296019100010652,186.0
nuclear membrane reassembly (GO:0031468),0.8174900913643469,270.0,1.0296019100010652,186.0
mitotic nuclear membrane reassembly (GO:0007084),0.8174900913643469,270.0,1.0296019100010652,186.0
negative regulation of gluconeogenesis (GO:0045721),0.8168684388949848,272.0,0.6246514594669054,1511.0
plus-end-directed organelle transport along microtubule (GO:0072386),0.8165079722289493,273.5,1.0427356134479189,174.5
plus-end-directed vesicle transport along microtubule (GO:0072383),0.8165079722289493,273.5,1.0427356134479189,174.5
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328),0.8163120072879704,275.5,0.6952601152031318,1070.5
establishment of protein localization to vacuole (GO:0072666),0.8163120072879704,275.5,0.6952601152031318,1070.5
regulation of chromosome segregation (GO:0051983),0.8158349353701617,277.0,0.8744470922414087,432.0
regulation of gene silencing by miRNA (GO:0060964),0.8147244261868927,278.0,1.018444513189181,193.0
regulation of histone H4 acetylation (GO:0090239),0.814018044413801,279.0,1.1834531761785063,80.0
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),0.8139102492562643,281.0,1.0778881828377196,140.0
tRNA transport (GO:0051031),0.8139102492562643,281.0,1.0778881828377196,140.0
tRNA export from nucleus (GO:0006409),0.8139102492562643,281.0,1.0778881828377196,140.0
mRNA stabilization (GO:0048255),0.8114927355582243,283.0,0.7302764856621258,900.0
maturation of 5.8S rRNA (GO:0000460),0.8113681327744473,284.0,0.8921502393820402,393.0
regulation of NAD(P)H oxidase activity (GO:0033860),0.8105037218925629,285.0,0.9513987904746973,283.0
deoxyribonucleotide metabolic process (GO:0009262),0.8104739198617634,286.0,0.826370442396204,552.0
ncRNA export from nucleus (GO:0097064),0.8103597957400634,287.0,1.0349308217912923,179.0
