set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
Phototransduction,0.27544690719797277,306.0,0.33111560567245807,306.0
Pentose and glucuronate interconversions,0.2746064315022621,307.0,0.29642986289852086,310.0
Amoebiasis,0.2732603000732652,308.0,0.3826910653769384,290.0
Hedgehog signaling pathway,0.27252560037925533,309.0,0.44038152314149465,247.0
Glycosaminoglycan degradation,0.25738128781465736,310.0,0.42419887583276356,267.0
Primary bile acid biosynthesis,0.25639752973287705,311.0,0.3572317490115943,300.0
Other glycan degradation,0.2516863212424313,312.0,0.32647102841030917,308.0
Ascorbate and aldarate metabolism,0.24177146530674834,313.0,0.1789182934870602,316.0
Olfactory transduction,0.22805751981234232,314.0,0.2825018299410434,313.0
Vitamin B6 metabolism,0.21314413050324119,315.0,0.3846680042140418,288.0
Phosphonate and phosphinate metabolism,0.1640765156592976,316.0,0.16139117949234782,317.0
D-Glutamine and D-glutamate metabolism,0.059549063966891656,317.0,0.28267025031571824,312.0
