================ Training Loss (Sat Mar  7 14:38:49 2026) ================
(epoch: 10, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.735 D_A: 0.000 D_B: 2.955 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.774 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 10, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.099 D_A: 0.000 D_B: 11.899 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.682 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 10, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.006 D_A: 0.000 D_B: 7.376 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.674 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 10, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.264 D_A: 0.000 D_B: 56.391 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.760 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 11, iters: 0, time: 0.004, data: 0.002) G_A: 0.000 G_B: 0.212 D_A: 0.000 D_B: 19.158 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.804 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 11, iters: 10, time: 0.004, data: 0.001) G_A: 0.000 G_B: 4.334 D_A: 0.000 D_B: 9.066 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.654 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 11, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.041 D_A: 0.000 D_B: 10.088 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.950 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 11, iters: 30, time: 0.004, data: 0.001) G_A: 0.000 G_B: 0.433 D_A: 0.000 D_B: 0.287 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.920 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 11, iters: 40, time: 0.004, data: 0.001) G_A: 0.000 G_B: 1.245 D_A: 0.000 D_B: 5.908 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.724 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 12, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.216 D_A: 0.000 D_B: 11.294 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.601 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 12, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.008 D_A: 0.000 D_B: 16.956 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.735 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 12, iters: 20, time: 0.003, data: 0.001) G_A: 0.000 G_B: 9.770 D_A: 0.000 D_B: 2.435 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.568 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 12, iters: 30, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.228 D_A: 0.000 D_B: 9.243 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.411 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 12, iters: 40, time: 0.003, data: 0.001) G_A: 0.000 G_B: 1.182 D_A: 0.000 D_B: 20.646 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.527 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 13, iters: 0, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.541 D_A: 0.000 D_B: 22.755 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.741 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
(epoch: 13, iters: 10, time: 0.003, data: 0.001) G_A: 0.000 G_B: 0.626 D_A: 0.000 D_B: 8.281 cycle_A: 0.000 cycle_B: 0.000 feedback_A: 7.447 feedback_B: 0.000 idt_A: 0.000 idt_B: 0.000 
