Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_32_P34046	HFM1	HFM1, ATP-dependent DNA helicase homolog (S. cerevisiae)	
UKv4_A_23_P62999	EXTL1	exostoses (multiple)-like 1	GO:0001501=skeletal development|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005783=endoplasmic reticulum|GO:0005789=endoplasmic reticulum membrane|GO:0016757=transferase activity, transferring glycosyl groups|GO:0050508=glucuronosyl-N-acetylgl
UKv4_A_23_P310350	CARKL	carbohydrate kinase-like	GO:0005975(carbohydrate metabolic process)|GO:0016301(kinase activity)|GO:0016740(transferase activity)
UKv4_A_23_P94533	CTSL1	cathepsin L1	GO:0004197(cysteine-type endopeptidase activity)|GO:0004217(cathepsin L activity)|GO:0005576(extracellular region)|GO:0005764(lysosome)|GO:0006508(proteolysis)
UKv4_A_23_P15564	AMZ2	archaemetzincins-2	GO:0006508(proteolysis)|GO:0008237(metallopeptidase activity)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P46947	CNNM1	cyclin M1	GO:0006811=ion transport|GO:0005886=plasma membrane|GO:0016021=integral to membrane
UKv4_A_23_P134167	PDSS2	prenyl (decaprenyl) diphosphate synthase, subunit 2	GO:0000010(trans-hexaprenyltranstransferase activity)|GO:0006744(ubiquinone biosynthetic process)|GO:0008299(isoprenoid biosynthetic process)|GO:0016740(transferase activity)|GO:0046982(protein heterodimerization activity)
UKv4_A_24_P277673	HIST1H4G	histone cluster 1, H4g	GO:0000786(nucleosome)|GO:0003677(DNA binding)|GO:0005634(nucleus)|GO:0006334(nucleosome assembly)|GO:0007001(chromosome organization and biogenesis (sensu Eukaryota))
UKv4_A_23_P419038	CLOCK	clock homolog (mouse)	GO:0003700(transcription factor activity)|GO:0004871(signal transducer activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006357(regulation of transcription from RNA polymerase II promoter)|GO:0007165(signal transduction)|
UKv4_A_24_P394533	NEU1	sialidase 1 (lysosomal sialidase)	GO:0008152=metabolic process|GO:0005886=plasma membrane|GO:0005765=lysosomal membrane|GO:0031410=cytoplasmic vesicle|GO:0043202=lysosomal lumen|GO:0005515=protein binding|GO:0004308=exo-alpha-sialidase activity|GO:0016798=hydrolase activity, acting on gly
UKv4_A_23_P140511	CLPX	ClpX caseinolytic peptidase X homolog (E. coli)	GO:0000166(nucleotide binding)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006457(protein folding)|GO:0008270(zinc ion binding)|GO:0015031(protein transport)|GO:0042623(ATPase
UKv4_A_23_P141467	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	GO:0000079=regulation of cyclin-dependent protein kinase activity|GO:0001764=neuron migration|GO:0007158=neuron adhesion|GO:0007213=acetylcholine receptor signaling, muscarinic pathway|GO:0009790=embryonic development|GO:0007411=axon guidance|GO:0007413=a
UKv4_A_23_P10911	LOC196463	hypothetical protein LOC196463	
UKv4_A_32_P536872	TDRD5	tudor domain containing 5	GO:0003676(nucleic acid binding)
UKv4_A_23_P400066	KIAA1219	KIAA1219	GO:0005096(GTPase activator activity)|GO:0005622(intracellular)|GO:0051056(regulation of small GTPase mediated signal transduction)
UKv4_A_23_P212497	ACAD11	acyl-Coenzyme A dehydrogenase family, member 11	GO:0003995(acyl-CoA dehydrogenase activity)|GO:0005777(peroxisome)|GO:0006118(electron transport)|GO:0008152(metabolic process)|GO:0050660(FAD binding)
UKv4_A_23_P27784	GP6	glycoprotein VI (platelet)	GO:0004888(transmembrane receptor activity)|GO:0005518(collagen binding)|GO:0005887(integral to plasma membrane)|GO:0007167(enzyme linked receptor protein signaling pathway)|GO:0016020(membrane)|GO:0030168(platelet activation)
UKv4_A_23_P322	EFNA4	ephrin-A4	GO:0005005(transmembrane-ephrin receptor activity)|GO:0005887(integral to plasma membrane)|GO:0007267(cell-cell signaling)|GO:0016020(membrane)|GO:0048503(GPI anchor binding)
UKv4_A_23_P329924	GPR109A	G protein-coupled receptor 109A	GO:0007165=signal transduction|GO:0007186=G-protein coupled receptor protein signaling pathway|GO:0005886=plasma membrane|GO:0016021=integral to membrane|GO:0001584=rhodopsin-like receptor activity|GO:0004872=receptor activity|GO:0005525=GTP binding|GO:00
UKv4_A_32_P152767	FLJ45187	hypothetical protein LOC387640	GO:0005634(nucleus)
UKv4_A_23_P72968	RP13-102H20.1	hypothetical protein FLJ30058	GO:0007165=signal transduction|GO:0005622=intracellular
UKv4_A_23_P154086	BCS1L	BCS1-like (yeast)	GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0005739(mitochondrion)|GO:0005750(mitochondrial respiratory chain complex III)|GO:0006457(protein folding)|GO:0006461(protein complex assembly)|GO:0007605(sensory perception of sound)|GO:0015980(en
UKv4_A_23_P66421	NAT9	N-acetyltransferase 9	GO:0008080(N-acetyltransferase activity)|GO:0008152(metabolic process)|GO:0016740(transferase activity)|GO:0043234(protein complex)
UKv4_A_23_P35796	PPP2R5B	protein phosphatase 2, regulatory subunit B', beta isoform	GO:0007165=signal transduction|GO:0000159=protein phosphatase type 2A complex|GO:0005737=cytoplasm|GO:0005515=protein binding|GO:0008601=protein phosphatase type 2A regulator activity|GO:0008601=protein phosphatase type 2A regulator activity
UKv4_A_23_P82959	FOXH1	forkhead box H1	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0007179=transforming growth factor beta receptor signaling pathway|GO:0045944=positive regulation of transcription from RNA polymerase II promoter|GO:0005634=nucleus|GO:0005
UKv4_A_23_P65918	ITPKA	inositol 1,4,5-trisphosphate 3-kinase A	GO:0000166(nucleotide binding)|GO:0005516(calmodulin binding)|GO:0005524(ATP binding)|GO:0006020(inositol metabolic process)|GO:0007165(signal transduction)|GO:0008440(inositol trisphosphate 3-kinase activity)|GO:0016301(kinase activity)|GO:0016740(transf
UKv4_A_23_P124095	CALML5	calmodulin-like 5	GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0007165(signal transduction)|GO:0008544(epidermis development)
UKv4_A_23_P358564	FLJ25680	hypothetical protein FLJ25680	GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0043565(sequence-specific DNA binding)
UKv4_A_24_P221424	ZNF784	zinc finger protein 784	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_32_P465065	C20orf135	chromosome 20 open reading frame 135	
UKv4_A_23_P128503	IL26	interleukin 26	GO:0005125(cytokine activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005625(soluble fraction)|GO:0006955(immune response)|GO:0007267(cell-cell signaling)
UKv4_A_32_P118397	LOC253012	hypothetical protein LOC253012	GO:0016021(integral to membrane)
UKv4_A_23_P134204	FAM71F1	family with sequence similarity 71, member F1	
UKv4_A_24_P200219	UPK1B	uroplakin 1B	GO:0030855=epithelial cell differentiation|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005198=structural molecule activity
UKv4_A_23_P254025	ZFP37	zinc finger protein 37 homolog (mouse)	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0005622=intracellular|GO:0005634=nucleus|GO:0003700=transcription factor activity|GO:0046872=metal ion binding|GO:0008270=zinc ion binding
UKv4_A_23_P211233	COL6A2	collagen, type VI, alpha 2	GO:0005201(extracellular matrix structural constituent)|GO:0005581(collagen)|GO:0005737(cytoplasm)|GO:0006817(phosphate transport)|GO:0016337(cell-cell adhesion)|GO:0030198(extracellular matrix organization and biogenesis)|GO:0030674(protein binding, brid
UKv4_A_23_P19333	TREM1	triggering receptor expressed on myeloid cells 1	GO:0004872(receptor activity)|GO:0005886(plasma membrane)|GO:0006959(humoral immune response)|GO:0007242(intracellular signaling cascade)|GO:0016021(integral to membrane)
UKv4_A_23_P92453	GSH2	GS homeobox 2	GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007389(pattern specification process)|GO:0007420(brain development)|GO:0043565(sequence-specific DNA binding)|GO:0048665(neuron fate s
UKv4_A_23_P146765	RNF139	ring finger protein 139	GO:0004872(receptor activity)|GO:0005515(protein binding)|GO:0005783(endoplasmic reticulum)|GO:0006512(ubiquitin cycle)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016874(ligase activity)|GO:0031396(regulation of
UKv4_A_23_P215963	STK3	serine/threonine kinase 3 (STE20 homolog, yeast)	GO:0000166(nucleotide binding)|GO:0000287(magnesium ion binding)|GO:0004672(protein kinase activity)|GO:0004674(protein serine/threonine kinase activity)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006468(protein amino acid phosp
UKv4_A_32_P221	C16orf78	chromosome 16 open reading frame 78	
UKv4_A_23_P164468	ADNP2	ADNP homeobox 2	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0005622=intracellular|GO:0005634=nucleus|GO:0003700=transcription factor activity|GO:0046872=metal ion binding|GO:0008270=zinc ion binding|GO:0043565=sequence-specific DNA b
UKv4_A_23_P54357	LDHAL6B	lactate dehydrogenase A-like 6B	GO:0004459(L-lactate dehydrogenase activity)|GO:0005737(cytoplasm)|GO:0006100(tricarboxylic acid cycle intermediate metabolic process)|GO:0016491(oxidoreductase activity)|GO:0019642(anaerobic glycolysis)
UKv4_A_24_P176445	HAGH	hydroxyacylglutathione hydrolase	GO:0004416(hydroxyacylglutathione hydrolase activity)|GO:0008270(zinc ion binding)|GO:0016787(hydrolase activity)|GO:0046872(metal ion binding)
UKv4_A_23_P142688	FAM134A	family with sequence similarity 134, member A	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P40334	NPBWR2	neuropeptides B/W receptor 2	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0004985(opioid receptor activity)|GO:0005515(protein binding)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007218(neurope
UKv4_A_23_P62807	SCCPDH	saccharopine dehydrogenase (putative)	GO:0055114=oxidation reduction|GO:0005488=binding|GO:0016491=oxidoreductase activity|GO:0047131=saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity
UKv4_A_23_P54622	KIF22	kinesin family member 22	GO:0007018=microtubule-based movement|GO:0007067=mitosis|GO:0005622=intracellular|GO:0000776=kinetochore|GO:0005634=nucleus|GO:0005874=microtubule|GO:0005875=microtubule associated complex|GO:0000166=nucleotide binding|GO:0003777=microtubule motor activit
UKv4_A_23_P204194	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	GO:0000166(nucleotide binding)|GO:0004872(receptor activity)|GO:0005215(transporter activity)|GO:0005524(ATP binding)|GO:0006810(transport)|GO:0006813(potassium ion transport)|GO:0008281(sulfonylurea receptor activity)|GO:0016020(membrane)|GO:0016021(inte
UKv4_A_23_P409417	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	
UKv4_A_23_P48698	ADAM20	ADAM metallopeptidase domain 20	GO:0004222(metalloendopeptidase activity)|GO:0006508(proteolysis)|GO:0007338(single fertilization)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0046872(metal ion binding)
UKv4_A_23_P60210	RLN1	relaxin 1	GO:0005179(hormone activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007165(signal transduction)|GO:0007565(pregnancy)
UKv4_A_32_P409222	ZNF628	zinc finger protein 628	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P144123	SLC22A13	solute carrier family 22, member 13	GO:0006810=transport|GO:0015695=organic cation transport|GO:0016020=membrane|GO:0005887=integral to plasma membrane|GO:0005215=transporter activity|GO:0015101=organic cation transmembrane transporter activity
UKv4_A_24_P105747	AP1S3	adaptor-related protein complex 1, sigma 3 subunit	GO:0005802(trans-Golgi network)|GO:0005905(coated pit)|GO:0006886(intracellular protein transport)|GO:0006897(endocytosis)|GO:0008565(protein transporter activity)|GO:0030121(AP-1 adaptor complex)|GO:0030662(coated vesicle membrane)
UKv4_A_24_P237613	USP12	ubiquitin specific peptidase 12	GO:0004221(ubiquitin thiolesterase activity)|GO:0005575(cellular_component)|GO:0006464(protein modification process)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0006512(ubiquitin cycle)|GO:0008234(cysteine-type peptidase activity)
UKv4_A_23_P344000	B4GALNT4	beta-1,4-N-acetyl-galactosaminyl transferase 4	GO:0008376(acetylgalactosaminyltransferase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016740(transferase activity)
UKv4_A_32_P155364	RPL7	ribosomal protein L7	GO:0003723(RNA binding)|GO:0003735(structural constituent of ribosome)|GO:0005622(intracellular)|GO:0005842(cytosolic large ribosomal subunit (sensu Eukaryota))|GO:0006412(translation)|GO:0015934(large ribosomal subunit)|GO:0030528(transcription regulator
UKv4_A_23_P2114	C11orf59	chromosome 11 open reading frame 59	
UKv4_A_23_P381378	CAPN7	calpain 7	GO:0006508=proteolysis|GO:0005622=intracellular|GO:0005634=nucleus|GO:0004198=calcium-dependent cysteine-type endopeptidase activity|GO:0008234=cysteine-type peptidase activity
UKv4_A_23_P259071	AREG	amphiregulin (schwannoma-derived growth factor)	GO:0005125(cytokine activity)|GO:0005615(extracellular space)|GO:0007267(cell-cell signaling)|GO:0008083(growth factor activity)|GO:0008283(cell proliferation)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P24493	MMP8	matrix metallopeptidase 8 (neutrophil collagenase)	GO:0008152=metabolic process|GO:0006508=proteolysis|GO:0030574=collagen catabolic process|GO:0005576=extracellular region|GO:0005578=proteinaceous extracellular matrix|GO:0005615=extracellular space|GO:0005509=calcium ion binding|GO:0004222=metalloendopep
UKv4_A_23_P158627	NOC4L	nucleolar complex associated 4 homolog (S. cerevisiae)	GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005732(small nucleolar ribonucleoprotein complex)|GO:0006365(35S primary transcript processing)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0030515(snoRNA binding)
UKv4_A_23_P46507	BOLA1	bolA homolog 1 (E. coli)	GO:0005515(protein binding)
UKv4_A_24_P323941	C20orf106	chromosome 20 open reading frame 106	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P333605	ENPEP	glutamyl aminopeptidase (aminopeptidase A)	GO:0001525(angiogenesis)|GO:0004179(membrane alanyl aminopeptidase activity)|GO:0004230(glutamyl aminopeptidase activity)|GO:0005509(calcium ion binding)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0005903(brush border)|GO:00065
UKv4_A_23_P373742	TRIML1	tripartite motif family-like 1	GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P30474	WDR70	WD repeat domain 70	
UKv4_A_24_P254762	VENTXP1	VENT homeobox (Xenopus laevis) pseudogene 1	
UKv4_A_23_P63010	LASS2	LAG1 homolog, ceramide synthase 2 (S. cerevisiae)	GO:0003700(transcription factor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005783(endoplasmic reticulum)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008610(lipid biosynthetic process)|GO:0016020(membrane)|GO:0016021(integ
UKv4_A_23_P364544	C12orf60	chromosome 12 open reading frame 60	
UKv4_A_23_P159382	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	GO:0003674(molecular_function)|GO:0005515(protein binding)|GO:0005783(endoplasmic reticulum)|GO:0006886(intracellular protein transport)|GO:0006888(ER to Golgi vesicle-mediated transport)|GO:0008270(zinc ion binding)|GO:0030127(COPII vesicle coat)
UKv4_A_23_P356684	ANLN	anillin, actin binding protein	GO:0000921=septin ring assembly|GO:0000910=cytokinesis|GO:0007049=cell cycle|GO:0007067=mitosis|GO:0007096=regulation of exit from mitosis|GO:0005634=nucleus|GO:0005737=cytoplasm|GO:0005826=contractile ring|GO:0003779=actin binding
UKv4_A_23_P112412	TEX10	testis expressed 10	GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005634=nucleus|GO:0031965=nuclear membrane|GO:0005488=binding
UKv4_A_23_P358662	KIAA1712	KIAA1712	
UKv4_A_24_P223384	HIST1H2AB	histone cluster 1, H2ab	GO:0000786(nucleosome)|GO:0003677(DNA binding)|GO:0005634(nucleus)|GO:0005694(chromosome)|GO:0006334(nucleosome assembly)|GO:0007001(chromosome organization and biogenesis (sensu Eukaryota))
UKv4_A_23_P120002	SP110	SP110 nuclear body protein	GO:0003677(DNA binding)|GO:0005062(hematopoietin/interferon-class (D200-domain) cytokine receptor signal transducer activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|
UKv4_A_23_P411353	ZCCHC5	zinc finger, CCHC domain containing 5	GO:0003676(nucleic acid binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P61987	TMEM121	transmembrane protein 121	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P81811	TJAP1	tight junction associated protein 1 (peripheral)	GO:0005515(protein binding)|GO:0005923(tight junction)
UKv4_A_23_P83234	ZBTB6	zinc finger and BTB domain containing 6	GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P95417	TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	GO:0004888(transmembrane receptor activity)|GO:0005515(protein binding)|GO:0006915(apoptosis)|GO:0006916(anti-apoptosis)|GO:0007165(signal transduction)|GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P55688	ZNF416	zinc finger protein 416	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P26314	ZNF319	zinc finger protein 319	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_24_P756657	LOC619208	hypothetical protein LOC619208	
UKv4_A_32_P103309	ALG10B	asparagine-linked glycosylation 10 homolog B (yeast, alpha-1,2-glucosyltransferase)	GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)
UKv4_A_32_P142440	PCSK9	proprotein convertase subtilisin/kexin type 9	GO:0001822=kidney development|GO:0001889=liver development|GO:0006629=lipid metabolic process|GO:0006641=triacylglycerol metabolic process|GO:0006644=phospholipid metabolic process|GO:0006917=induction of apoptosis|GO:0008202=steroid metabolic process|GO:
UKv4_A_23_P73429	HCLS1	hematopoietic cell-specific Lyn substrate 1	GO:0006355=regulation of transcription, DNA-dependent|GO:0007242=intracellular signaling cascade|GO:0008284=positive regulation of cell proliferation|GO:0009725=response to hormone stimulus|GO:0030218=erythrocyte differentiation|GO:0042531=positive regula
UKv4_A_23_P311087	ZNF281	zinc finger protein 281	GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0003704(specific RNA polymerase II transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO
UKv4_A_23_P99080	TAS2R13	taste receptor, type 2, member 13	GO:0004872(receptor activity)|GO:0004930(G-protein coupled receptor activity)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0008527(taste receptor activity)|GO:0016020(membrane)|GO:0016021(integral to
UKv4_A_23_P137226	USP9Y	ubiquitin specific peptidase 9, Y-linked (fat facets-like, Drosophila)	GO:0004221(ubiquitin thiolesterase activity)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0006512(ubiquitin cycle)|GO:0007283(spermatogenesis)|GO:0008234(cysteine-type peptidase activity)
UKv4_A_32_P181297	ST7OT1	ST7 overlapping transcript 1 (antisense non-coding RNA)	
UKv4_A_23_P335905	STK36	serine/threonine kinase 36, fused homolog (Drosophila)	GO:0000166(nucleotide binding)|GO:0000287(magnesium ion binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006468(protein amino acid phosphorylation)|GO:0008134(transcription
UKv4_A_23_P321972	FGD5	FYVE, RhoGEF and PH domain containing 5	GO:0030036=actin cytoskeleton organization and biogenesis|GO:0007010=cytoskeleton organization and biogenesis|GO:0008360=regulation of cell shape|GO:0035023=regulation of Rho protein signal transduction|GO:0043088=regulation of Cdc42 GTPase activity|GO:00
UKv4_A_23_P139376	RPS3	ribosomal protein S3	GO:0003723(RNA binding)|GO:0003735(structural constituent of ribosome)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0005843(cytosolic small ribosomal subunit (sensu Eukaryota))|GO:0006412(translation)
UKv4_A_23_P385263	CHD5	chromodomain helicase DNA binding protein 5	GO:0006333=chromatin assembly or disassembly|GO:0006355=regulation of transcription, DNA-dependent|GO:0016568=chromatin modification|GO:0045449=regulation of transcription|GO:0000785=chromatin|GO:0005634=nucleus|GO:0000166=nucleotide binding|GO:0005515=pr
UKv4_A_23_P209799	MYO7B	myosin VIIB	GO:0003774(motor activity)|GO:0005488(binding)|GO:0005524(ATP binding)|GO:0005856(cytoskeleton)|GO:0016459(myosin complex)
UKv4_A_23_P122233	MRPL22	mitochondrial ribosomal protein L22	GO:0003735(structural constituent of ribosome)|GO:0005622(intracellular)|GO:0005739(mitochondrion)|GO:0006412(translation)|GO:0015934(large ribosomal subunit)
UKv4_A_23_P23037	GJA8	gap junction protein, alpha 8, 50kDa	GO:0006810=transport|GO:0007154=cell communication|GO:0007601=visual perception|GO:0043010=camera-type eye development|GO:0005886=plasma membrane|GO:0005887=integral to plasma membrane|GO:0005922=connexon complex|GO:0030054=cell junction|GO:0015267=channe
UKv4_A_23_P254989	TRPC5	transient receptor potential cation channel, subfamily C, member 5	GO:0006811=ion transport|GO:0006816=calcium ion transport|GO:0007399=nervous system development|GO:0016020=membrane|GO:0005887=integral to plasma membrane|GO:0005515=protein binding|GO:0005509=calcium ion binding|GO:0005216=ion channel activity|GO:0015279
UKv4_A_23_P136196	TBC1D19	TBC1 domain family, member 19	GO:0005096(GTPase activator activity)|GO:0005097(Rab GTPase activator activity)|GO:0005622(intracellular)|GO:0032313(regulation of Rab GTPase activity)
UKv4_A_24_P336577	C1orf183	chromosome 1 open reading frame 183	
UKv4_A_23_P141367	CCR10	chemokine (C-C motif) receptor 10	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0005515(protein binding)|GO:0005887(integral to plasma membrane)|GO:0006935(chemotaxis)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling p
UKv4_A_23_P37311	PCNX	pecanex homolog (Drosophila)	GO:0016020(membrane)|GO:0016021(integral to membrane)
UKv4_A_23_P6344	SDF2L1	stromal cell-derived factor 2-like 1	GO:0016020(membrane)|GO:0016787(hydrolase activity)
UKv4_A_23_P78053	FAM117A	family with sequence similarity 117, member A	
UKv4_A_23_P137427	ZMPSTE24	zinc metallopeptidase (STE24 homolog, S. cerevisiae)	GO:0004222(metalloendopeptidase activity)|GO:0005624(membrane fraction)|GO:0005783(endoplasmic reticulum)|GO:0006508(proteolysis)|GO:0006998(nuclear membrane organization and biogenesis)|GO:0008235(metalloexopeptidase activity)|GO:0008270(zinc ion binding
UKv4_A_23_P72697	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	GO:0005576=extracellular region
UKv4_A_23_P49230	PRDM7	PR domain containing 7	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P47226	YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)	GO:0016192=vesicle-mediated transport|GO:0008150=biological_process|GO:0015031=protein transport|GO:0000139=Golgi membrane|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005783=endoplasmic reticulum|GO:0005575=cellular_component|GO:0005789=endopl
UKv4_A_23_P340131	PRSS16	protease, serine, 16 (thymus)	GO:0004252(serine-type endopeptidase activity)|GO:0005575(cellular_component)|GO:0006508(proteolysis)|GO:0008236(serine-type peptidase activity)|GO:0030163(protein catabolic process)
UKv4_A_23_P140978	ZNF263	zinc finger protein 263	GO:0006350=transcription|GO:0006355=regulation of transcription, DNA-dependent|GO:0005622=intracellular|GO:0005634=nucleus|GO:0003700=transcription factor activity|GO:0046872=metal ion binding|GO:0008270=zinc ion binding|GO:0016564=transcription repressor
UKv4_A_23_P29855	VDP	vesicle docking protein p115	GO:0000139(Golgi membrane)|GO:0005488(binding)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0006886(intracellular protein transport)|GO:0006888(ER to Golgi vesicle-mediated transport)|GO:0006904(vesicle docking during exocytosis)|GO:0008565(protei
UKv4_A_23_P259621	LAT2	linker for activation of T cells family, member 2	GO:0005515(protein binding)|GO:0006955(immune response)|GO:0007242(intracellular signaling cascade)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019722(calcium-mediated signaling)|GO:0042113(B cell activation)|GO:0042169(SH2 domain binding)|G
UKv4_A_23_P34424	KCNQ4	potassium voltage-gated channel, KQT-like subfamily, member 4	GO:0005249(voltage-gated potassium channel activity)|GO:0005624(membrane fraction)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0007605(sensory perception of sound)|GO:0008076(voltage-gated potassium channel complex)|GO:0016020(membran
UKv4_A_23_P100576	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	GO:0004298(threonine endopeptidase activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005829(cytosol)|GO:0005839(proteasome core complex (sensu Eukaryota))|GO:0006511(ubiquitin-dependent protein catabolic process)
UKv4_A_23_P431388	SPOCD1	SPOC domain containing 1	GO:0006350=transcription
UKv4_A_23_P118300	FAHD1	fumarylacetoacetate hydrolase domain containing 1	GO:0000287(magnesium ion binding)|GO:0005509(calcium ion binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0008152(metabolic process)|GO:0016787(hydrolase activity)
UKv4_A_24_P134863	ITIH5L	inter-alpha (globulin) inhibitor H5-like	GO:0004867(serine-type endopeptidase inhibitor activity)|GO:0030212(hyaluronan metabolic process)
UKv4_A_23_P325562	SLC1A7	solute carrier family 1 (glutamate transporter), member 7	GO:0005313(L-glutamate transporter activity)|GO:0006810(transport)|GO:0006835(dicarboxylic acid transport)|GO:0015293(symporter activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0017153(sodium:dicarboxylate symporter activity)
UKv4_A_23_P201706	S100A2	S100 calcium binding protein A2	GO:0043542=endothelial cell migration|GO:0005575=cellular_component|GO:0005509=calcium ion binding
