Agilent_Probe_Name	GeneSymbol	GeneName	GO
UKv4_A_23_P127547	TRPC6	transient receptor potential cation channel, subfamily C, member 6	GO:0006812=cation transport|GO:0006816=calcium ion transport|GO:0005886=plasma membrane|GO:0016021=integral to membrane|GO:0005515=protein binding|GO:0005509=calcium ion binding|GO:0005216=ion channel activity|GO:0005262=calcium channel activity
UKv4_A_23_P359647	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	GO:0001816(cytokine production)|GO:0003700(transcription factor activity)|GO:0003702(RNA polymerase II transcription factor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006355(regulation of transcription, DNA-depende
UKv4_A_23_P116850	KRT2	keratin 2 (epidermal ichthyosis bullosa of Siemens)	GO:0005200(structural constituent of cytoskeleton)|GO:0005882(intermediate filament)|GO:0008544(epidermis development)|GO:0031424(keratinization)|GO:0032980(keratinocyte activation)|GO:0043616(keratinocyte proliferation)|GO:0051546(keratinocyte migration)
UKv4_A_23_P106633	DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	GO:0005739=mitochondrion|GO:0005634=nucleus|GO:0000166=nucleotide binding|GO:0003723=RNA binding|GO:0005524=ATP binding|GO:0008026=ATP-dependent helicase activity|GO:0016787=hydrolase activity
UKv4_A_23_P46378	PIGV	phosphatidylinositol glycan anchor biosynthesis, class V	GO:0016254=preassembly of GPI anchor in ER membrane|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005783=endoplasmic reticulum|GO:0005789=endoplasmic reticulum membrane|GO:0000030=mannosyltransferase activity|GO:0000030=mannosyltransferase activ
UKv4_A_23_P79999	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	GO:0000287(magnesium ion binding)|GO:0005509(calcium ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016787(hydrolase activity)|GO:0017110(nucleoside-diphosphatase activity)
UKv4_A_23_P421493	HPR	haptoglobin-related protein	GO:0004252(serine-type endopeptidase activity)|GO:0005576(extracellular region)|GO:0006508(proteolysis)|GO:0030492(hemoglobin binding)
UKv4_A_23_P140384	CTSG	cathepsin G	GO:0006508=proteolysis|GO:0006955=immune response|GO:0008233=peptidase activity
UKv4_A_23_P97892	LDB1	LIM domain binding 1	GO:0003712(transcription cofactor activity)|GO:0003714(transcription corepressor activity)|GO:0005634(nucleus)|GO:0007275(multicellular organismal development)|GO:0009948(anterior/posterior axis specification)|GO:0010003(gastrulation (sensu Mammalia))|GO:
UKv4_A_23_P56855			
UKv4_A_23_P250671	GPX1	glutathione peroxidase 1	GO:0000302(response to reactive oxygen species)|GO:0004602(glutathione peroxidase activity)|GO:0005739(mitochondrion)|GO:0006979(response to oxidative stress)|GO:0008430(selenium binding)|GO:0008631(induction of apoptosis by oxidative stress)|GO:0016491(o
UKv4_A_23_P110167	MGST2	microsomal glutathione S-transferase 2	GO:0007165=signal transduction|GO:0007267=cell-cell signaling|GO:0019370=leukotriene biosynthetic process|GO:0016020=membrane|GO:0016021=integral to membrane|GO:0005783=endoplasmic reticulum|GO:0005624=membrane fraction|GO:0005789=endoplasmic reticulum me
UKv4_A_23_P133474	GPX3	glutathione peroxidase 3 (plasma)	GO:0004602(glutathione peroxidase activity)|GO:0005615(extracellular space)|GO:0006982(response to lipid hydroperoxide)|GO:0008134(transcription factor binding)|GO:0008430(selenium binding)|GO:0016491(oxidoreductase activity)|GO:0042744(hydrogen peroxide
UKv4_A_23_P391164	ZNF512	zinc finger protein 512	GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
UKv4_A_23_P141555	TBX21	T-box 21	GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)|GO:0048304(positive regulation of isotype switching to IgG isot
