================ Training Loss (Thu Sep 25 20:11:58 2025) ================
(epoch: 122, iters: 50, time: 0.305, data: 0.370) D_A: 20.275 G_A: 0.569 cycle_A: 19.317 idt_A: 122.545 D_B: 154.322 G_B: 0.008 cycle_B: 58.730 idt_B: 29.057 median_A: 96.307 median_B: 372.938 
(epoch: 123, iters: 50, time: 0.306, data: 0.315) D_A: 4.937 G_A: 0.576 cycle_A: 7.954 idt_A: 17.092 D_B: 57.512 G_B: 0.016 cycle_B: 9.897 idt_B: 4.098 median_A: 96.019 median_B: 32.195 
(epoch: 125, iters: 50, time: 0.306, data: 0.324) D_A: 0.904 G_A: 0.005 cycle_A: 7.963 idt_A: 16.942 D_B: 32.833 G_B: 0.204 cycle_B: 7.790 idt_B: 4.022 median_A: 96.040 median_B: 32.600 
(epoch: 127, iters: 50, time: 0.305, data: 0.321) D_A: 0.417 G_A: 0.121 cycle_A: 7.952 idt_A: 16.886 D_B: 47.627 G_B: 0.311 cycle_B: 11.441 idt_B: 4.008 median_A: 96.007 median_B: 32.390 
(epoch: 129, iters: 50, time: 0.306, data: 0.368) D_A: 0.249 G_A: 0.053 cycle_A: 7.969 idt_A: 16.833 D_B: 56.073 G_B: 0.000 cycle_B: 14.096 idt_B: 4.007 median_A: 95.961 median_B: 32.390 
(epoch: 131, iters: 50, time: 0.305, data: 0.345) D_A: 0.378 G_A: 0.058 cycle_A: 7.974 idt_A: 16.776 D_B: 58.773 G_B: 0.669 cycle_B: 10.992 idt_B: 4.006 median_A: 95.873 median_B: 32.322 
(epoch: 133, iters: 50, time: 0.305, data: 0.334) D_A: 0.422 G_A: 0.012 cycle_A: 7.972 idt_A: 16.718 D_B: 55.314 G_B: 0.875 cycle_B: 9.128 idt_B: 4.013 median_A: 95.797 median_B: 32.291 
(epoch: 135, iters: 50, time: 0.307, data: 0.375) D_A: 0.106 G_A: 0.164 cycle_A: 7.979 idt_A: 16.659 D_B: 42.326 G_B: 0.006 cycle_B: 8.985 idt_B: 4.004 median_A: 95.778 median_B: 32.276 
(epoch: 137, iters: 50, time: 0.306, data: 0.334) D_A: 0.691 G_A: 0.059 cycle_A: 7.972 idt_A: 16.581 D_B: 15.487 G_B: 0.033 cycle_B: 8.446 idt_B: 4.051 median_A: 95.891 median_B: 32.247 
(epoch: 139, iters: 50, time: 0.305, data: 0.371) D_A: 0.211 G_A: 0.097 cycle_A: 7.958 idt_A: 16.491 D_B: 5.046 G_B: 0.034 cycle_B: 8.278 idt_B: 3.997 median_A: 95.823 median_B: 32.230 
(epoch: 141, iters: 50, time: 0.305, data: 0.380) D_A: 0.230 G_A: 0.183 cycle_A: 7.986 idt_A: 16.381 D_B: 56.682 G_B: 1.109 cycle_B: 11.687 idt_B: 3.983 median_A: 95.805 median_B: 32.218 
(epoch: 143, iters: 50, time: 0.306, data: 0.426) D_A: 0.526 G_A: 0.004 cycle_A: 7.991 idt_A: 16.307 D_B: 77.392 G_B: 0.333 cycle_B: 10.312 idt_B: 3.974 median_A: 95.702 median_B: 32.210 
(epoch: 145, iters: 50, time: 0.307, data: 0.405) D_A: 0.758 G_A: 0.018 cycle_A: 7.983 idt_A: 16.167 D_B: 112.685 G_B: 0.422 cycle_B: 9.403 idt_B: 3.965 median_A: 95.677 median_B: 32.229 
