================ Training Loss (Wed Oct  1 14:04:46 2025) ================
(epoch: 758, iters: 10, time: 0.224, data: 0.240) D_A: 0.562 G_A: 0.001 cycle_A: 3.560 idt_A: 1.798 D_B: 0.435 G_B: 0.309 cycle_B: 2.865 idt_B: 1.021 median_A: 11.400 median_B: 17.426 
(epoch: 767, iters: 10, time: 0.227, data: 0.225) D_A: 1.463 G_A: 0.296 cycle_A: 1.991 idt_A: 1.787 D_B: 0.486 G_B: 0.435 cycle_B: 2.623 idt_B: 0.954 median_A: 11.363 median_B: 17.627 
(epoch: 776, iters: 10, time: 0.226, data: 0.227) D_A: 0.355 G_A: 0.494 cycle_A: 1.904 idt_A: 1.997 D_B: 0.395 G_B: 0.236 cycle_B: 2.435 idt_B: 1.086 median_A: 11.371 median_B: 17.531 
(epoch: 785, iters: 10, time: 0.225, data: 0.258) D_A: 0.275 G_A: 1.928 cycle_A: 3.108 idt_A: 1.963 D_B: 0.113 G_B: 0.235 cycle_B: 3.450 idt_B: 0.966 median_A: 11.400 median_B: 16.197 
(epoch: 794, iters: 10, time: 0.227, data: 0.271) D_A: 0.345 G_A: 2.756 cycle_A: 2.748 idt_A: 2.122 D_B: 3.420 G_B: 0.305 cycle_B: 3.062 idt_B: 0.911 median_A: 11.356 median_B: 15.811 
(epoch: 803, iters: 10, time: 0.227, data: 0.306) D_A: 0.321 G_A: 0.040 cycle_A: 3.334 idt_A: 2.244 D_B: 0.231 G_B: 0.110 cycle_B: 2.936 idt_B: 0.962 median_A: 12.229 median_B: 14.710 
(epoch: 812, iters: 10, time: 0.227, data: 0.384) D_A: 0.206 G_A: 1.386 cycle_A: 3.696 idt_A: 2.151 D_B: 1.178 G_B: 0.375 cycle_B: 2.431 idt_B: 0.873 median_A: 11.918 median_B: 14.251 
(epoch: 821, iters: 10, time: 0.228, data: 0.546) D_A: 2.596 G_A: 8.978 cycle_A: 3.404 idt_A: 2.040 D_B: 0.070 G_B: 0.435 cycle_B: 2.028 idt_B: 0.917 median_A: 11.985 median_B: 13.736 
(epoch: 830, iters: 10, time: 0.226, data: 0.745) D_A: 2.631 G_A: 1.673 cycle_A: 3.221 idt_A: 2.015 D_B: 2.313 G_B: 0.351 cycle_B: 1.972 idt_B: 1.034 median_A: 11.441 median_B: 12.160 
(epoch: 839, iters: 10, time: 0.229, data: 0.209) D_A: 0.284 G_A: 1.749 cycle_A: 2.272 idt_A: 1.974 D_B: 6.787 G_B: 0.441 cycle_B: 1.984 idt_B: 1.066 median_A: 11.441 median_B: 12.459 
(epoch: 848, iters: 10, time: 0.226, data: 0.231) D_A: 0.677 G_A: 2.175 cycle_A: 2.882 idt_A: 1.962 D_B: 1.034 G_B: 0.036 cycle_B: 1.530 idt_B: 1.122 median_A: 11.403 median_B: 12.155 
(epoch: 857, iters: 10, time: 0.226, data: 0.210) D_A: 0.467 G_A: 0.007 cycle_A: 3.171 idt_A: 1.967 D_B: 0.189 G_B: 6.087 cycle_B: 7.803 idt_B: 1.001 median_A: 12.283 median_B: 13.329 
