================ Training Loss (Fri Sep 19 16:46:06 2025) ================
(epoch: 92, iters: 50, time: 0.037, data: 0.128) D_A: 0.697 G_A: 0.028 cycle_A: 2.811 idt_A: 1.747 D_B: 4.706 G_B: 3.901 cycle_B: 4.104 idt_B: 1.443 median_A: 3.033 median_B: 4.076 
(epoch: 94, iters: 50, time: 0.037, data: 0.132) D_A: 0.329 G_A: 0.049 cycle_A: 3.221 idt_A: 1.710 D_B: 1.191 G_B: 0.694 cycle_B: 3.949 idt_B: 1.554 median_A: 3.094 median_B: 3.995 
(epoch: 96, iters: 50, time: 0.037, data: 0.129) D_A: 0.385 G_A: 0.026 cycle_A: 3.074 idt_A: 1.744 D_B: 0.872 G_B: 0.069 cycle_B: 3.988 idt_B: 1.407 median_A: 2.860 median_B: 4.026 
(epoch: 98, iters: 50, time: 0.037, data: 0.126) D_A: 0.675 G_A: 0.026 cycle_A: 2.746 idt_A: 1.730 D_B: 1.213 G_B: 0.091 cycle_B: 4.003 idt_B: 1.375 median_A: 2.764 median_B: 4.113 
(epoch: 100, iters: 50, time: 0.037, data: 0.137) D_A: 0.259 G_A: 0.136 cycle_A: 2.996 idt_A: 1.689 D_B: 0.937 G_B: 0.067 cycle_B: 4.034 idt_B: 1.469 median_A: 2.741 median_B: 4.138 
(epoch: 102, iters: 50, time: 0.037, data: 0.137) D_A: 0.220 G_A: 0.552 cycle_A: 2.811 idt_A: 1.741 D_B: 2.381 G_B: 1.282 cycle_B: 4.061 idt_B: 1.413 median_A: 2.833 median_B: 4.081 
(epoch: 104, iters: 50, time: 0.037, data: 0.131) D_A: 0.192 G_A: 0.200 cycle_A: 2.820 idt_A: 1.713 D_B: 0.744 G_B: 0.005 cycle_B: 4.030 idt_B: 1.472 median_A: 2.740 median_B: 4.159 
(epoch: 106, iters: 50, time: 0.035, data: 0.133) D_A: 2.277 G_A: 1.285 cycle_A: 2.811 idt_A: 1.688 D_B: 0.766 G_B: 0.186 cycle_B: 4.144 idt_B: 1.450 median_A: 2.735 median_B: 4.235 
(epoch: 108, iters: 50, time: 0.038, data: 0.132) D_A: 0.104 G_A: 0.364 cycle_A: 2.797 idt_A: 1.764 D_B: 1.079 G_B: 0.276 cycle_B: 4.407 idt_B: 1.339 median_A: 2.810 median_B: 4.413 
(epoch: 110, iters: 50, time: 0.037, data: 0.133) D_A: 0.007 G_A: 0.047 cycle_A: 3.562 idt_A: 1.745 D_B: 0.704 G_B: 0.192 cycle_B: 4.221 idt_B: 1.442 median_A: 2.947 median_B: 4.153 
(epoch: 112, iters: 50, time: 0.037, data: 0.133) D_A: 0.141 G_A: 0.093 cycle_A: 3.880 idt_A: 1.705 D_B: 0.841 G_B: 0.585 cycle_B: 4.179 idt_B: 1.488 median_A: 2.904 median_B: 4.160 
(epoch: 114, iters: 50, time: 0.037, data: 0.130) D_A: 0.153 G_A: 0.113 cycle_A: 3.632 idt_A: 1.623 D_B: 0.573 G_B: 0.063 cycle_B: 4.066 idt_B: 1.479 median_A: 2.806 median_B: 4.122 
