================ Training Loss (Fri Sep 19 16:30:06 2025) ================
(epoch: 92, iters: 50, time: 0.052, data: 0.126) D_A: 2.996 G_A: 0.312 cycle_A: 3.567 idt_A: 1.980 D_B: 1.130 G_B: 3.174 cycle_B: 5.238 idt_B: 1.573 median_A: 8.933 median_B: 6.840 
(epoch: 94, iters: 50, time: 0.052, data: 0.127) D_A: 0.312 G_A: 0.047 cycle_A: 3.666 idt_A: 1.948 D_B: 5.824 G_B: 2.812 cycle_B: 5.525 idt_B: 1.544 median_A: 8.028 median_B: 6.219 
(epoch: 96, iters: 50, time: 0.051, data: 0.128) D_A: 1.496 G_A: 0.000 cycle_A: 3.389 idt_A: 1.909 D_B: 5.093 G_B: 0.940 cycle_B: 5.120 idt_B: 1.641 median_A: 8.269 median_B: 5.685 
(epoch: 98, iters: 50, time: 0.051, data: 0.131) D_A: 0.234 G_A: 0.001 cycle_A: 3.565 idt_A: 1.895 D_B: 5.318 G_B: 2.466 cycle_B: 5.074 idt_B: 1.790 median_A: 7.938 median_B: 5.234 
(epoch: 100, iters: 50, time: 0.050, data: 0.136) D_A: 0.372 G_A: 0.019 cycle_A: 3.532 idt_A: 1.966 D_B: 0.202 G_B: 0.226 cycle_B: 4.864 idt_B: 1.665 median_A: 7.397 median_B: 5.224 
(epoch: 102, iters: 50, time: 0.051, data: 0.138) D_A: 1.488 G_A: 0.322 cycle_A: 3.181 idt_A: 2.048 D_B: 1.455 G_B: 0.768 cycle_B: 4.826 idt_B: 1.650 median_A: 7.262 median_B: 5.064 
(epoch: 104, iters: 50, time: 0.050, data: 0.158) D_A: 1.991 G_A: 0.601 cycle_A: 3.707 idt_A: 1.949 D_B: 62.384 G_B: 71.683 cycle_B: 4.665 idt_B: 2.088 median_A: 5.598 median_B: 4.917 
(epoch: 106, iters: 50, time: 0.051, data: 0.166) D_A: 2.985 G_A: 1.270 cycle_A: 3.528 idt_A: 1.920 D_B: 0.592 G_B: 0.003 cycle_B: 4.932 idt_B: 1.651 median_A: 6.711 median_B: 5.164 
(epoch: 108, iters: 50, time: 0.052, data: 0.161) D_A: 0.834 G_A: 1.514 cycle_A: 3.385 idt_A: 1.908 D_B: 1.720 G_B: 3.874 cycle_B: 4.751 idt_B: 1.765 median_A: 6.045 median_B: 5.119 
(epoch: 110, iters: 50, time: 0.049, data: 0.143) D_A: 0.713 G_A: 0.459 cycle_A: 3.124 idt_A: 1.878 D_B: 0.205 G_B: 1.866 cycle_B: 4.309 idt_B: 1.563 median_A: 3.301 median_B: 4.463 
(epoch: 112, iters: 50, time: 0.051, data: 0.166) D_A: 2.231 G_A: 0.840 cycle_A: 3.127 idt_A: 1.913 D_B: 0.811 G_B: 0.773 cycle_B: 4.300 idt_B: 1.997 median_A: 3.235 median_B: 4.532 
