================ Training Loss (Thu Sep 25 01:40:40 2025) ================
(epoch: 112, iters: 50, time: 0.234, data: 0.317) D_A: 7.145 G_A: 0.830 cycle_A: 9.930 idt_A: 6.344 D_B: 9.107 G_B: 8.078 cycle_B: 22.224 idt_B: 1.326 median_A: 11.807 median_B: 14.155 
(epoch: 114, iters: 50, time: 0.234, data: 0.281) D_A: 3.463 G_A: 2.125 cycle_A: 9.911 idt_A: 6.262 D_B: 0.385 G_B: 0.279 cycle_B: 7.044 idt_B: 1.060 median_A: 11.489 median_B: 14.191 
(epoch: 116, iters: 50, time: 0.235, data: 0.321) D_A: 0.584 G_A: 0.575 cycle_A: 9.883 idt_A: 6.466 D_B: 328.403 G_B: 1.061 cycle_B: 6.607 idt_B: 1.146 median_A: 11.474 median_B: 13.435 
(epoch: 118, iters: 50, time: 0.232, data: 0.295) D_A: 14.015 G_A: 16.147 cycle_A: 9.857 idt_A: 6.618 D_B: 8.236 G_B: 3.498 cycle_B: 6.057 idt_B: 1.055 median_A: 11.428 median_B: 14.219 
(epoch: 120, iters: 50, time: 0.235, data: 0.271) D_A: 4.620 G_A: 1.048 cycle_A: 9.822 idt_A: 6.632 D_B: 1.070 G_B: 1.548 cycle_B: 6.645 idt_B: 0.958 median_A: 11.522 median_B: 14.443 
(epoch: 122, iters: 50, time: 0.234, data: 0.289) D_A: 0.187 G_A: 1.507 cycle_A: 9.849 idt_A: 6.573 D_B: 6.536 G_B: 5.029 cycle_B: 11.605 idt_B: 1.262 median_A: 11.118 median_B: 14.507 
(epoch: 124, iters: 50, time: 0.235, data: 0.282) D_A: 3.609 G_A: 8.485 cycle_A: 9.761 idt_A: 6.310 D_B: 5.284 G_B: 0.466 cycle_B: 10.696 idt_B: 1.263 median_A: 11.516 median_B: 13.487 
(epoch: 126, iters: 50, time: 0.234, data: 0.282) D_A: 3.302 G_A: 4.823 cycle_A: 9.728 idt_A: 6.042 D_B: 2.707 G_B: 1.876 cycle_B: 11.596 idt_B: 1.191 median_A: 11.491 median_B: 13.879 
(epoch: 128, iters: 50, time: 0.231, data: 0.348) D_A: 2.432 G_A: 1.010 cycle_A: 9.675 idt_A: 5.926 D_B: 0.923 G_B: 0.050 cycle_B: 7.033 idt_B: 1.045 median_A: 11.216 median_B: 13.921 
(epoch: 130, iters: 50, time: 0.233, data: 0.318) D_A: 3.629 G_A: 3.867 cycle_A: 9.610 idt_A: 5.679 D_B: 0.923 G_B: 4.991 cycle_B: 13.858 idt_B: 1.011 median_A: 11.825 median_B: 13.641 
(epoch: 132, iters: 50, time: 0.235, data: 0.497) D_A: 3.904 G_A: 2.973 cycle_A: 9.586 idt_A: 5.406 D_B: 0.887 G_B: 0.081 cycle_B: 14.727 idt_B: 1.038 median_A: 11.788 median_B: 14.052 
(epoch: 134, iters: 50, time: 0.235, data: 0.459) D_A: 1.538 G_A: 5.951 cycle_A: 9.822 idt_A: 5.329 D_B: 1.499 G_B: 0.225 cycle_B: 8.362 idt_B: 1.157 median_A: 11.192 median_B: 13.306 
(epoch: 136, iters: 50, time: 0.234, data: 0.453) D_A: 0.162 G_A: 2.330 cycle_A: 10.166 idt_A: 5.243 D_B: 3.636 G_B: 2.690 cycle_B: 7.209 idt_B: 1.145 median_A: 11.373 median_B: 13.252 
(epoch: 138, iters: 50, time: 0.233, data: 0.471) D_A: 0.515 G_A: 0.000 cycle_A: 10.170 idt_A: 5.214 D_B: 2.781 G_B: 0.661 cycle_B: 8.992 idt_B: 1.156 median_A: 11.181 median_B: 12.924 
(epoch: 140, iters: 50, time: 0.232, data: 0.482) D_A: 0.479 G_A: 2.013 cycle_A: 10.164 idt_A: 5.086 D_B: 1.125 G_B: 3.488 cycle_B: 6.830 idt_B: 1.118 median_A: 11.036 median_B: 12.147 
(epoch: 142, iters: 50, time: 0.235, data: 0.793) D_A: 2.707 G_A: 0.774 cycle_A: 10.164 idt_A: 5.069 D_B: 4.048 G_B: 0.036 cycle_B: 69.810 idt_B: 0.948 median_A: 10.169 median_B: 12.403 
(epoch: 144, iters: 50, time: 0.234, data: 0.668) D_A: 0.969 G_A: 2.486 cycle_A: 10.166 idt_A: 4.985 D_B: 127.761 G_B: 5.551 cycle_B: 15.378 idt_B: 1.111 median_A: 11.324 median_B: 11.946 
(epoch: 146, iters: 50, time: 0.233, data: 0.680) D_A: 0.736 G_A: 0.041 cycle_A: 10.164 idt_A: 4.764 D_B: 2.363 G_B: 0.031 cycle_B: 68.152 idt_B: 1.112 median_A: 10.170 median_B: 11.948 
(epoch: 148, iters: 50, time: 0.235, data: 0.653) D_A: 0.450 G_A: 0.148 cycle_A: 10.165 idt_A: 4.881 D_B: 7.186 G_B: 0.097 cycle_B: 22.633 idt_B: 1.015 median_A: 10.595 median_B: 11.247 
(epoch: 150, iters: 50, time: 0.232, data: 0.690) D_A: 0.884 G_A: 2.837 cycle_A: 10.166 idt_A: 5.006 D_B: 23.919 G_B: 0.132 cycle_B: 14.149 idt_B: 1.045 median_A: 11.075 median_B: 10.453 
(epoch: 152, iters: 50, time: 0.233, data: 0.709) D_A: 0.401 G_A: 0.187 cycle_A: 10.168 idt_A: 4.882 D_B: 6.603 G_B: 0.147 cycle_B: 19.410 idt_B: 1.036 median_A: 10.878 median_B: 9.738 
(epoch: 154, iters: 50, time: 0.234, data: 0.672) D_A: 0.355 G_A: 1.587 cycle_A: 10.167 idt_A: 4.916 D_B: 2.217 G_B: 0.989 cycle_B: 8.754 idt_B: 1.225 median_A: 11.241 median_B: 10.297 
(epoch: 156, iters: 50, time: 0.233, data: 0.726) D_A: 0.754 G_A: 0.636 cycle_A: 10.167 idt_A: 4.763 D_B: 6.494 G_B: 0.971 cycle_B: 26.459 idt_B: 1.131 median_A: 10.646 median_B: 9.368 
(epoch: 158, iters: 50, time: 0.234, data: 0.712) D_A: 0.271 G_A: 1.094 cycle_A: 10.167 idt_A: 4.615 D_B: 5.613 G_B: 0.255 cycle_B: 17.657 idt_B: 1.248 median_A: 10.850 median_B: 8.809 
(epoch: 160, iters: 50, time: 0.234, data: 0.712) D_A: 3.092 G_A: 0.670 cycle_A: 10.166 idt_A: 4.571 D_B: 0.478 G_B: 0.020 cycle_B: 8.609 idt_B: 1.150 median_A: 11.149 median_B: 9.114 
(epoch: 162, iters: 50, time: 0.234, data: 0.786) D_A: 3.770 G_A: 2.248 cycle_A: 10.164 idt_A: 4.565 D_B: 2.630 G_B: 2.265 cycle_B: 9.921 idt_B: 1.078 median_A: 11.556 median_B: 9.622 
(epoch: 164, iters: 50, time: 0.235, data: 0.908) D_A: 0.664 G_A: 0.240 cycle_A: 10.163 idt_A: 4.444 D_B: 3.468 G_B: 2.618 cycle_B: 7.278 idt_B: 1.333 median_A: 11.314 median_B: 9.231 
(epoch: 166, iters: 50, time: 0.232, data: 0.945) D_A: 6.187 G_A: 0.282 cycle_A: 10.162 idt_A: 4.362 D_B: 1.749 G_B: 1.014 cycle_B: 7.680 idt_B: 1.337 median_A: 11.116 median_B: 9.393 
(epoch: 168, iters: 50, time: 0.235, data: 0.941) D_A: 7.457 G_A: 6.760 cycle_A: 10.161 idt_A: 4.328 D_B: 0.334 G_B: 3.092 cycle_B: 10.156 idt_B: 1.380 median_A: 10.932 median_B: 8.677 
(epoch: 170, iters: 50, time: 0.235, data: 0.946) D_A: 0.395 G_A: 0.768 cycle_A: 10.161 idt_A: 4.145 D_B: 2.112 G_B: 0.534 cycle_B: 8.788 idt_B: 1.087 median_A: 11.380 median_B: 8.627 
(epoch: 172, iters: 50, time: 0.235, data: 1.089) D_A: 0.524 G_A: 0.111 cycle_A: 10.160 idt_A: 4.189 D_B: 0.160 G_B: 0.506 cycle_B: 8.992 idt_B: 1.382 median_A: 11.119 median_B: 8.444 
(epoch: 174, iters: 50, time: 0.234, data: 1.117) D_A: 9.376 G_A: 5.391 cycle_A: 10.161 idt_A: 4.259 D_B: 1.050 G_B: 0.622 cycle_B: 12.943 idt_B: 1.117 median_A: 10.796 median_B: 9.187 
(epoch: 176, iters: 50, time: 0.235, data: 1.108) D_A: 1.783 G_A: 2.624 cycle_A: 10.159 idt_A: 4.279 D_B: 1.740 G_B: 0.257 cycle_B: 14.355 idt_B: 1.217 median_A: 10.876 median_B: 8.950 
(epoch: 178, iters: 50, time: 0.235, data: 1.058) D_A: 0.544 G_A: 0.164 cycle_A: 10.158 idt_A: 4.502 D_B: 10.305 G_B: 0.011 cycle_B: 65.658 idt_B: 1.230 median_A: 10.161 median_B: 8.902 
(epoch: 180, iters: 50, time: 0.235, data: 1.076) D_A: 0.895 G_A: 0.898 cycle_A: 10.160 idt_A: 4.252 D_B: 8.489 G_B: 0.001 cycle_B: 51.117 idt_B: 1.106 median_A: 10.163 median_B: 8.577 
(epoch: 182, iters: 50, time: 0.235, data: 1.064) D_A: 0.392 G_A: 0.491 cycle_A: 10.165 idt_A: 4.077 D_B: 14.069 G_B: 0.003 cycle_B: 6.745 idt_B: 0.959 median_A: 10.166 median_B: 8.750 
