================ Training Loss (Wed Sep 24 05:40:58 2025) ================
(epoch: 98, iters: 50, time: 0.233, data: 0.267) D_A: 1.657 G_A: 0.013 cycle_A: 6.951 idt_A: 3.583 D_B: 5.520 G_B: 5.367 cycle_B: 4.597 idt_B: 1.256 median_A: 7.212 median_B: 5.634 
(epoch: 100, iters: 50, time: 0.232, data: 0.271) D_A: 1.039 G_A: 0.081 cycle_A: 6.996 idt_A: 3.526 D_B: 5.616 G_B: 0.001 cycle_B: 4.260 idt_B: 1.271 median_A: 7.234 median_B: 5.337 
(epoch: 102, iters: 50, time: 0.234, data: 0.274) D_A: 1.883 G_A: 0.820 cycle_A: 6.952 idt_A: 3.403 D_B: 3.702 G_B: 1.097 cycle_B: 4.456 idt_B: 1.220 median_A: 7.129 median_B: 5.295 
(epoch: 104, iters: 50, time: 0.234, data: 0.272) D_A: 0.500 G_A: 0.335 cycle_A: 6.892 idt_A: 3.396 D_B: 1.438 G_B: 0.416 cycle_B: 2.906 idt_B: 1.154 median_A: 7.329 median_B: 5.123 
(epoch: 106, iters: 50, time: 0.232, data: 0.271) D_A: 1.501 G_A: 0.536 cycle_A: 6.838 idt_A: 3.325 D_B: 0.817 G_B: 0.001 cycle_B: 2.928 idt_B: 1.252 median_A: 7.304 median_B: 5.117 
(epoch: 108, iters: 50, time: 0.232, data: 0.276) D_A: 1.062 G_A: 1.163 cycle_A: 6.775 idt_A: 3.242 D_B: 1.300 G_B: 0.774 cycle_B: 3.063 idt_B: 1.232 median_A: 7.518 median_B: 5.079 
(epoch: 110, iters: 50, time: 0.234, data: 0.274) D_A: 3.229 G_A: 2.186 cycle_A: 6.753 idt_A: 3.179 D_B: 0.143 G_B: 0.046 cycle_B: 2.530 idt_B: 0.951 median_A: 7.227 median_B: 4.993 
(epoch: 112, iters: 50, time: 0.233, data: 0.285) D_A: 1.905 G_A: 0.775 cycle_A: 6.707 idt_A: 3.258 D_B: 2.818 G_B: 0.418 cycle_B: 3.618 idt_B: 1.059 median_A: 7.971 median_B: 4.843 
(epoch: 114, iters: 50, time: 0.233, data: 0.260) D_A: 0.773 G_A: 0.795 cycle_A: 6.724 idt_A: 3.189 D_B: 2.876 G_B: 1.046 cycle_B: 3.660 idt_B: 1.196 median_A: 7.007 median_B: 4.802 
(epoch: 116, iters: 50, time: 0.233, data: 0.289) D_A: 4.677 G_A: 3.972 cycle_A: 6.637 idt_A: 3.078 D_B: 0.976 G_B: 2.389 cycle_B: 2.766 idt_B: 1.108 median_A: 6.959 median_B: 4.833 
(epoch: 118, iters: 50, time: 0.233, data: 0.281) D_A: 0.812 G_A: 2.299 cycle_A: 6.597 idt_A: 3.061 D_B: 2.606 G_B: 0.372 cycle_B: 2.619 idt_B: 1.293 median_A: 6.997 median_B: 4.807 
(epoch: 120, iters: 50, time: 0.233, data: 0.278) D_A: 0.988 G_A: 0.017 cycle_A: 6.585 idt_A: 3.105 D_B: 0.663 G_B: 0.017 cycle_B: 3.840 idt_B: 1.275 median_A: 6.994 median_B: 4.980 
(epoch: 122, iters: 50, time: 0.233, data: 0.292) D_A: 1.429 G_A: 0.121 cycle_A: 6.550 idt_A: 3.029 D_B: 0.000 G_B: 0.249 cycle_B: 2.570 idt_B: 1.267 median_A: 6.916 median_B: 4.771 
(epoch: 124, iters: 50, time: 0.232, data: 0.293) D_A: 1.241 G_A: 0.562 cycle_A: 6.517 idt_A: 2.969 D_B: 0.394 G_B: 0.264 cycle_B: 2.931 idt_B: 1.096 median_A: 6.849 median_B: 4.578 
(epoch: 126, iters: 50, time: 0.232, data: 0.292) D_A: 0.574 G_A: 0.102 cycle_A: 6.520 idt_A: 2.997 D_B: 0.584 G_B: 0.644 cycle_B: 3.182 idt_B: 1.306 median_A: 6.692 median_B: 4.627 
(epoch: 128, iters: 50, time: 0.234, data: 0.295) D_A: 1.316 G_A: 0.003 cycle_A: 6.494 idt_A: 3.017 D_B: 2.075 G_B: 0.920 cycle_B: 2.264 idt_B: 1.031 median_A: 7.010 median_B: 4.617 
(epoch: 130, iters: 50, time: 0.234, data: 0.300) D_A: 1.275 G_A: 0.450 cycle_A: 6.469 idt_A: 2.895 D_B: 0.157 G_B: 0.275 cycle_B: 2.435 idt_B: 1.022 median_A: 6.889 median_B: 4.506 
(epoch: 132, iters: 50, time: 0.233, data: 0.299) D_A: 1.271 G_A: 0.215 cycle_A: 6.481 idt_A: 2.823 D_B: 1.688 G_B: 0.811 cycle_B: 2.893 idt_B: 1.213 median_A: 6.700 median_B: 4.403 
(epoch: 134, iters: 50, time: 0.228, data: 0.301) D_A: 1.200 G_A: 0.300 cycle_A: 6.504 idt_A: 2.736 D_B: 1.046 G_B: 0.087 cycle_B: 2.796 idt_B: 1.194 median_A: 6.749 median_B: 4.344 
(epoch: 136, iters: 50, time: 0.232, data: 0.297) D_A: 0.648 G_A: 0.147 cycle_A: 6.494 idt_A: 2.659 D_B: 0.531 G_B: 3.003 cycle_B: 2.787 idt_B: 1.120 median_A: 6.709 median_B: 4.316 
(epoch: 138, iters: 50, time: 0.233, data: 0.346) D_A: 0.371 G_A: 0.002 cycle_A: 6.502 idt_A: 2.663 D_B: 0.613 G_B: 0.403 cycle_B: 2.440 idt_B: 1.046 median_A: 6.780 median_B: 4.267 
(epoch: 140, iters: 50, time: 0.233, data: 0.295) D_A: 0.721 G_A: 0.206 cycle_A: 6.479 idt_A: 2.625 D_B: 2.720 G_B: 1.571 cycle_B: 2.897 idt_B: 1.141 median_A: 6.672 median_B: 4.190 
(epoch: 142, iters: 50, time: 0.234, data: 0.304) D_A: 1.361 G_A: 0.254 cycle_A: 6.459 idt_A: 2.561 D_B: 1.222 G_B: 0.015 cycle_B: 2.787 idt_B: 1.211 median_A: 6.641 median_B: 4.160 
(epoch: 144, iters: 50, time: 0.233, data: 0.338) D_A: 0.858 G_A: 0.001 cycle_A: 6.476 idt_A: 2.553 D_B: 0.361 G_B: 0.206 cycle_B: 2.240 idt_B: 1.113 median_A: 6.689 median_B: 4.108 
(epoch: 146, iters: 50, time: 0.233, data: 0.315) D_A: 0.683 G_A: 0.000 cycle_A: 6.459 idt_A: 2.428 D_B: 0.131 G_B: 0.914 cycle_B: 1.796 idt_B: 1.011 median_A: 6.688 median_B: 4.009 
(epoch: 148, iters: 50, time: 0.233, data: 0.311) D_A: 0.652 G_A: 0.000 cycle_A: 6.475 idt_A: 2.434 D_B: 0.317 G_B: 0.107 cycle_B: 1.849 idt_B: 1.402 median_A: 6.818 median_B: 3.915 
(epoch: 150, iters: 50, time: 0.233, data: 0.308) D_A: 0.853 G_A: 0.038 cycle_A: 6.503 idt_A: 2.629 D_B: 0.284 G_B: 0.000 cycle_B: 2.191 idt_B: 1.093 median_A: 6.881 median_B: 3.835 
