================ Training Loss (Fri Sep 19 21:09:31 2025) ================
(epoch: 49, iters: 100, time: 0.225, data: 0.215) D_A: 0.668 G_A: 0.012 cycle_A: 6.624 idt_A: 4.573 D_B: 2.135 G_B: 0.094 cycle_B: 4.852 idt_B: 1.922 median_A: 9.258 median_B: 12.101 
(epoch: 50, iters: 100, time: 0.226, data: 0.214) D_A: 1.131 G_A: 2.149 cycle_A: 6.459 idt_A: 4.510 D_B: 0.618 G_B: 0.007 cycle_B: 5.799 idt_B: 1.807 median_A: 9.222 median_B: 12.019 
(epoch: 51, iters: 100, time: 0.226, data: 0.207) D_A: 0.769 G_A: 1.392 cycle_A: 6.369 idt_A: 4.447 D_B: 0.577 G_B: 0.035 cycle_B: 4.821 idt_B: 1.850 median_A: 9.189 median_B: 11.519 
(epoch: 52, iters: 100, time: 0.226, data: 0.218) D_A: 1.093 G_A: 2.899 cycle_A: 6.321 idt_A: 4.415 D_B: 0.802 G_B: 0.544 cycle_B: 4.803 idt_B: 1.985 median_A: 9.169 median_B: 11.701 
(epoch: 53, iters: 100, time: 0.226, data: 0.218) D_A: 0.149 G_A: 0.437 cycle_A: 7.913 idt_A: 4.389 D_B: 6.011 G_B: 0.076 cycle_B: 5.443 idt_B: 1.885 median_A: 9.230 median_B: 11.655 
(epoch: 54, iters: 100, time: 0.225, data: 0.234) D_A: 5.987 G_A: 3.084 cycle_A: 7.885 idt_A: 4.370 D_B: 1.641 G_B: 2.127 cycle_B: 5.003 idt_B: 2.059 median_A: 9.155 median_B: 11.305 
(epoch: 55, iters: 100, time: 0.224, data: 0.212) D_A: 1.833 G_A: 0.651 cycle_A: 7.914 idt_A: 4.356 D_B: 1.041 G_B: 1.791 cycle_B: 6.157 idt_B: 1.603 median_A: 9.118 median_B: 11.595 
(epoch: 56, iters: 100, time: 0.226, data: 0.216) D_A: 0.580 G_A: 0.292 cycle_A: 7.716 idt_A: 4.390 D_B: 1.130 G_B: 0.380 cycle_B: 5.195 idt_B: 1.672 median_A: 9.125 median_B: 11.076 
(epoch: 57, iters: 100, time: 0.226, data: 0.236) D_A: 2.499 G_A: 0.836 cycle_A: 7.586 idt_A: 4.291 D_B: 0.077 G_B: 0.334 cycle_B: 4.536 idt_B: 1.706 median_A: 9.149 median_B: 10.909 
(epoch: 58, iters: 100, time: 0.226, data: 0.218) D_A: 1.109 G_A: 1.818 cycle_A: 7.359 idt_A: 4.293 D_B: 0.690 G_B: 0.589 cycle_B: 5.020 idt_B: 1.512 median_A: 9.173 median_B: 10.571 
(epoch: 59, iters: 100, time: 0.225, data: 0.205) D_A: 1.961 G_A: 3.185 cycle_A: 7.244 idt_A: 4.183 D_B: 1.557 G_B: 0.070 cycle_B: 5.204 idt_B: 1.565 median_A: 9.291 median_B: 10.390 
(epoch: 60, iters: 100, time: 0.226, data: 0.206) D_A: 1.824 G_A: 3.760 cycle_A: 7.872 idt_A: 4.098 D_B: 0.688 G_B: 0.007 cycle_B: 5.275 idt_B: 1.380 median_A: 9.239 median_B: 10.310 
(epoch: 61, iters: 100, time: 0.226, data: 0.218) D_A: 1.588 G_A: 1.907 cycle_A: 6.996 idt_A: 3.992 D_B: 0.191 G_B: 0.321 cycle_B: 5.036 idt_B: 1.582 median_A: 9.188 median_B: 9.886 
(epoch: 62, iters: 100, time: 0.226, data: 0.235) D_A: 0.127 G_A: 0.158 cycle_A: 6.904 idt_A: 3.900 D_B: 1.079 G_B: 0.167 cycle_B: 6.959 idt_B: 1.771 median_A: 9.146 median_B: 9.422 
(epoch: 63, iters: 100, time: 0.226, data: 0.230) D_A: 0.186 G_A: 0.053 cycle_A: 7.757 idt_A: 3.832 D_B: 0.299 G_B: 0.275 cycle_B: 5.033 idt_B: 1.550 median_A: 9.152 median_B: 9.030 
(epoch: 64, iters: 100, time: 0.225, data: 0.207) D_A: 0.206 G_A: 0.111 cycle_A: 7.426 idt_A: 3.744 D_B: 0.084 G_B: 0.002 cycle_B: 5.205 idt_B: 1.500 median_A: 9.107 median_B: 8.633 
(epoch: 65, iters: 100, time: 0.225, data: 0.215) D_A: 1.370 G_A: 0.200 cycle_A: 7.226 idt_A: 3.660 D_B: 0.090 G_B: 1.325 cycle_B: 5.562 idt_B: 1.450 median_A: 9.173 median_B: 8.393 
(epoch: 66, iters: 100, time: 0.226, data: 0.207) D_A: 1.304 G_A: 0.293 cycle_A: 9.012 idt_A: 3.556 D_B: 1.297 G_B: 0.345 cycle_B: 5.132 idt_B: 1.415 median_A: 9.193 median_B: 8.052 
(epoch: 67, iters: 100, time: 0.225, data: 0.232) D_A: 2.403 G_A: 0.011 cycle_A: 8.995 idt_A: 3.479 D_B: 0.858 G_B: 0.370 cycle_B: 4.960 idt_B: 1.387 median_A: 9.146 median_B: 7.571 
(epoch: 68, iters: 100, time: 0.226, data: 0.206) D_A: 0.307 G_A: 0.280 cycle_A: 9.171 idt_A: 3.408 D_B: 6.932 G_B: 0.154 cycle_B: 9.610 idt_B: 1.687 median_A: 9.433 median_B: 7.184 
(epoch: 69, iters: 100, time: 0.226, data: 0.204) D_A: 5.514 G_A: 2.039 cycle_A: 9.114 idt_A: 3.274 D_B: 2.051 G_B: 0.065 cycle_B: 24.988 idt_B: 1.534 median_A: 9.116 median_B: 7.220 
(epoch: 70, iters: 100, time: 0.226, data: 0.238) D_A: 0.066 G_A: 0.649 cycle_A: 9.115 idt_A: 3.224 D_B: 2.696 G_B: 0.157 cycle_B: 9.089 idt_B: 1.143 median_A: 9.255 median_B: 7.134 
(epoch: 71, iters: 100, time: 0.226, data: 0.234) D_A: 0.189 G_A: 0.170 cycle_A: 9.125 idt_A: 3.157 D_B: 1.238 G_B: 0.389 cycle_B: 6.721 idt_B: 1.142 median_A: 9.572 median_B: 6.825 
(epoch: 72, iters: 100, time: 0.226, data: 0.204) D_A: 1.052 G_A: 0.093 cycle_A: 9.115 idt_A: 3.076 D_B: 0.350 G_B: 0.020 cycle_B: 9.307 idt_B: 1.158 median_A: 9.493 median_B: 6.557 
(epoch: 73, iters: 100, time: 0.225, data: 0.205) D_A: 0.869 G_A: 0.860 cycle_A: 9.112 idt_A: 3.098 D_B: 6.844 G_B: 1.244 cycle_B: 5.750 idt_B: 1.570 median_A: 9.384 median_B: 6.239 
(epoch: 74, iters: 100, time: 0.227, data: 0.206) D_A: 0.924 G_A: 0.129 cycle_A: 9.121 idt_A: 3.055 D_B: 0.051 G_B: 0.678 cycle_B: 5.521 idt_B: 1.208 median_A: 9.392 median_B: 5.748 
(epoch: 75, iters: 100, time: 0.226, data: 0.236) D_A: 0.521 G_A: 0.005 cycle_A: 9.117 idt_A: 3.082 D_B: 0.437 G_B: 0.229 cycle_B: 5.465 idt_B: 1.287 median_A: 9.374 median_B: 5.523 
(epoch: 76, iters: 100, time: 0.226, data: 0.212) D_A: 0.241 G_A: 0.066 cycle_A: 9.120 idt_A: 3.028 D_B: 0.019 G_B: 0.650 cycle_B: 5.498 idt_B: 1.269 median_A: 9.371 median_B: 5.401 
(epoch: 77, iters: 100, time: 0.226, data: 0.217) D_A: 0.500 G_A: 0.091 cycle_A: 9.115 idt_A: 2.937 D_B: 0.123 G_B: 0.287 cycle_B: 5.675 idt_B: 1.228 median_A: 9.317 median_B: 5.323 
(epoch: 78, iters: 100, time: 0.224, data: 0.236) D_A: 0.426 G_A: 0.089 cycle_A: 9.110 idt_A: 2.959 D_B: 0.093 G_B: 0.428 cycle_B: 6.646 idt_B: 1.090 median_A: 9.275 median_B: 5.261 
(epoch: 79, iters: 100, time: 0.226, data: 0.208) D_A: 0.365 G_A: 0.135 cycle_A: 9.112 idt_A: 2.869 D_B: 0.018 G_B: 0.810 cycle_B: 7.013 idt_B: 1.692 median_A: 9.258 median_B: 5.243 
