set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
negative regulation of chemokine-mediated signaling pathway (GO:0070100),0.9281694420332446,149.0,0.9312181919820118,341.0
meiotic sister chromatid cohesion (GO:0051177),0.9280564057945586,150.0,1.0202332797096494,213.0
purine ribonucleoside monophosphate biosynthetic process (GO:0009168),0.9270558473553444,151.0,1.1145250374524645,120.0
organic cation transport (GO:0015695),0.9251212181514786,152.0,0.8632209682172054,494.0
protein K6-linked ubiquitination (GO:0085020),0.9250481044533416,153.0,0.9710746123306737,266.0
positive regulation of vesicle fusion (GO:0031340),0.9244823898249107,154.0,1.0203739810465275,212.0
response to X-ray (GO:0010165),0.9212449947551946,155.0,1.053462294803492,178.0
purine ribonucleoside monophosphate metabolic process (GO:0009167),0.9211257409884466,156.0,1.0914852068536982,138.0
mitochondrial RNA processing (GO:0000963),0.9210842512216924,157.0,1.0433440277238335,187.0
mitotic G2 DNA damage checkpoint signaling (GO:0007095),0.9189929781873558,158.0,0.9780269141564185,257.0
regulation of cytochrome-c oxidase activity (GO:1904959),0.9189158616136547,159.0,1.1670631765389647,92.0
mitochondrial translation (GO:0032543),0.9187794600760956,160.0,1.1342388594525854,108.0
protein lipoylation (GO:0009249),0.9183595847239655,161.0,1.2317956558771035,72.0
inner mitochondrial membrane organization (GO:0007007),0.9179636304918299,162.0,0.9611923725344977,287.0
monoamine transport (GO:0015844),0.9167594345436934,163.0,1.0078317439823958,222.0
DNA modification (GO:0006304),0.9158560559273593,164.0,0.9595897121998188,289.0
"negative regulation of blood coagulation, intrinsic pathway (GO:2000267)",0.9156693138251817,165.5,0.8961406668991246,409.5
"regulation of blood coagulation, intrinsic pathway (GO:2000266)",0.9156693138251817,165.5,0.8961406668991246,409.5
dopamine transport (GO:0015872),0.9150334704096124,167.0,0.9560024493943844,297.0
maturation of SSU-rRNA (GO:0030490),0.9149495637596199,168.0,1.0521365292709721,179.0
pyrimidine-containing compound salvage (GO:0008655),0.9137466356852793,169.5,0.7969885443003443,676.5
pyrimidine nucleoside salvage (GO:0043097),0.9137466356852793,169.5,0.7969885443003443,676.5
magnesium ion homeostasis (GO:0010960),0.9101351990451843,171.0,0.8290144165102161,591.0
